Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP,WATER INFILTRATION,Design,Complete,4/24/2017,10/24/2017,10/4/2017,294215,117090,104655,DSF: 0000783396
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP,WATER INFILTRATION,Construction,PNS,PNS,PNS,PNS,5516525,5516525,11224,DSF: 0000783396
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP,WATER INFILTRATION,"CM, F&E",PNS,PNS,PNS,PNS,343250,343250,32147,DSF: 0000783396
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY14 RESO A GYMNASIUM UPGRADE,Scope,Complete,2/11/2014,6/12/2014,6/2/2014,0,36347,36347,DSF: 0000798753
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY14 RESO A GYMNASIUM UPGRADE,Design,Complete,6/9/2014,10/23/2014,10/23/2014,102518,145704,145704,DSF: 0000798753
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY14 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,2/17/2015,9/14/2015,,1503591,1478004,1039134,DSF: 0000798753
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY14 RESO A GYMNASIUM UPGRADE,"CM, F&E",In-Progress,2/17/2015,9/14/2015,,102518,258855,194147,DSF: 0000798753
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,Complete,12/23/2015,4/26/2016,8/25/2016,0,0,0,DSF: 0000822894
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,30000,92475,0,DSF: 0000822894
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,1356300,0,DSF: 0000822894
19,K435,PERFORMING ARTS AND TECH. HS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,30000,92475,0,DSF: 0000822894
19,K435,HIGH SCHOOL FOR CIVIL RIGHTS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000844758
19,K435,HIGH SCHOOL FOR CIVIL RIGHTS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000844758
19,K435,HIGH SCHOOL FOR CIVIL RIGHTS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000844758
19,K435,HIGH SCHOOL FOR CIVIL RIGHTS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000844758
19,K435,PERFORMING ARTS AND TECH. HS-,SCA IEH,IEH PO18-ROOM 506,Construction,Complete,4/20/2017,IEH,8/20/2017,IEH,77881,12771,DSF: 0000046325
19,K435,PERFORMING ARTS AND TECH. HS -,SCA IEH,IEH PO18-5TH FL TEACHERS CAFETERIA,Construction,In-Progress,8/31/2017,IEH,,IEH,87953,3346,DSF: 0000048486
19,K435,FDNY - CAPTAIN VERNON A. RICHA,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,107702,0,DSF: 0000776973
19,K599,EAST NY FAMILY ACADEMY - K,SCA Capacity,NEW SCHOOL,Scope,Complete,4/20/2017,10/5/2017,10/11/2017,2007975,1155093,496340,DSF: 0000844038
19,K599,EAST NY FAMILY ACADEMY - K,SCA Capacity,NEW SCHOOL,Design,In-Progress,10/12/2017,4/13/2018,,6425521,6425521,96876,DSF: 0000844038
19,K599,EAST NY FAMILY ACADEMY - K,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,90117936,90117936,89423,DSF: 0000844038
19,K599,EAST NY FAMILY ACADEMY - K,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,12690405,12690405,72204,DSF: 0000844038
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY LIBRARY UPGRADE,Scope,Complete,1/31/2017,3/28/2017,4/24/2017,12600,14268,14268,DSF: 0000865841
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY LIBRARY UPGRADE,Design,Complete,4/24/2017,9/7/2017,5/18/2017,46200,43767,36772,DSF: 0000865841
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY LIBRARY UPGRADE,Construction,In-Progress,7/5/2017,3/1/2018,,489300,472050,10898,DSF: 0000865841
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY LIBRARY UPGRADE,"CM, F&E",In-Progress,7/5/2017,3/1/2018,,113400,54999,20978,DSF: 0000865841
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY AUDITORIUM UPGRADE,Scope,Complete,2/28/2017,6/28/2017,4/27/2017,14010,16590,16590,DSF: 0000829459
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY AUDITORIUM UPGRADE,Design,Complete,4/27/2017,9/25/2017,6/8/2017,51370,66426,66426,DSF: 0000829459
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY AUDITORIUM UPGRADE,Construction,In-Progress,10/10/2017,6/6/2018,,544055,503074,11904,DSF: 0000829459
19,K615,E NY VOC HS OF TRANSIT TECH.-K,SCA CIP,ENY AUDITORIUM UPGRADE,"CM, F&E",In-Progress,10/10/2017,6/6/2018,,126090,61127,10691,DSF: 0000829459
24,Q269,ELM TREE ELEMENTARY SCHOOL,SCA CIP RESOA,FY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000822917
24,Q269,ELM TREE ELEMENTARY SCHOOL,SCA CIP RESOA,FY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Design,PNS,PNS,PNS,PNS,13500,13500,0,DSF: 0000822917
24,Q269,ELM TREE ELEMENTARY SCHOOL,SCA CIP RESOA,FY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,198000,198000,0,DSF: 0000822917
24,Q269,ELM TREE ELEMENTARY SCHOOL,SCA CIP RESOA,FY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,13500,13500,0,DSF: 0000822917
24,Q290,P.S. 290 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/17/2017,1/15/2018,8/17/2017,35000,34737,34737,DSF: 0000845086
24,Q298,P.S. 298 - QUEENS,SCA Capacity,NEW SCHOOL,Scope,Complete,3/1/2010,9/9/2010,8/20/2010,1537000,1341679,1340005,DSF: 0000687098
24,Q298,P.S. 298 - QUEENS,SCA Capacity,NEW SCHOOL,Design,Complete,8/23/2010,5/4/2011,5/8/2014,5763750,5801587,5291844,DSF: 0000687098
24,Q298,P.S. 298 - QUEENS,SCA Capacity,NEW SCHOOL,Construction,In-Progress,9/17/2014,12/29/2017,,86456250,79103198,75806357,DSF: 0000687098
24,Q298,P.S. 298 - QUEENS,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",In-Progress,9/17/2014,12/29/2017,,11243250,7054743,5380205,DSF: 0000687098
24,Q315,P.S. 110 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/5/2017,1/15/2018,9/25/2017,35000,34732,34732,DSF: 0000844504
24,Q342,P.S. 81 - QUEENS,SCA CIP,STANDALONE GYM ANNEX,Scope,Complete,7/6/2017,10/5/2017,7/27/2017,82610,137037,14387,DSF: 0000866743
24,Q342,P.S. 81 - QUEENS,SCA CIP,STANDALONE GYM ANNEX,Design,Complete,7/28/2017,12/29/2017,11/15/2017,330438,402376,49795,DSF: 0000866743
24,Q342,P.S. 81 - QUEENS,SCA CIP,STANDALONE GYM ANNEX,Construction,PNS,PNS,PNS,PNS,6195715,6195715,3021,DSF: 0000866743
24,Q342,P.S. 81 - QUEENS,SCA CIP,STANDALONE GYM ANNEX,"CM, F&E",PNS,PNS,PNS,PNS,389592,389592,62332,DSF: 0000866743
24,Q368,PRE-K CENTER @ 54-25 101ST STR,PRE-K,LEASE,Scope,Complete,9/8/2016,10/26/2016,10/28/2016,85714,75807,75807,DSF: 0000844691
24,Q368,PRE-K CENTER @ 54-25 101ST STR,PRE-K,LEASE,Design,Complete,10/31/2016,3/27/2017,12/6/2017,274286,226896,226896,DSF: 0000844691
24,Q368,PRE-K CENTER @ 54-25 101ST STR,PRE-K,LEASE,Construction,PNS,PNS,PNS,PNS,3846857,3846857,36851,DSF: 0000844691
24,Q368,PRE-K CENTER @ 54-25 101ST STR,PRE-K,LEASE,"CM, F&E",PNS,PNS,PNS,PNS,541714,541714,15092,DSF: 0000844691
24,Q372,PRE-K @ 104-14 ROOSEVELT AVE,PRE-K,LEASE,Scope,Complete,8/24/2016,9/16/2016,9/22/2016,224813,157064,157064,DSF: 0000844698
24,Q372,PRE-K @ 104-14 ROOSEVELT AVE,PRE-K,LEASE,Design,Complete,9/23/2016,1/17/2017,1/3/2017,719400,776572,664236,DSF: 0000844698
24,Q372,PRE-K @ 104-14 ROOSEVELT AVE,PRE-K,LEASE,Construction,Complete,2/28/2017,8/26/2017,8/30/2017,10089585,9106745,7764484,DSF: 0000844698
24,Q372,PRE-K @ 104-14 ROOSEVELT AVE,PRE-K,LEASE,"CM, F&E",Complete,2/28/2017,8/26/2017,8/30/2017,1420815,1410457,1110029,DSF: 0000844698
24,Q373,PRE-K CENTER@104-04 CORONA AVE,PRE-K,NEW SCHOOL,Scope,Complete,6/15/2017,7/6/2017,7/6/2017,89190,14699,6069,DSF: 0000866312
24,Q373,PRE-K CENTER@104-04 CORONA AVE,PRE-K,NEW SCHOOL,Design,In-Progress,7/7/2017,10/30/2017,,285409,285409,46710,DSF: 0000866312
24,Q373,PRE-K CENTER@104-04 CORONA AVE,PRE-K,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,4002857,4002857,8596,DSF: 0000866312
24,Q373,PRE-K CENTER@104-04 CORONA AVE,PRE-K,NEW SCHOOL,"CM, F&E",PNS,PNS,PNS,PNS,563682,563682,8458,DSF: 0000866312
24,Q419,I.S. 419 - QUEENS,SCA Capacity,NEW SCHOOL,Scope,Complete,9/15/2016,2/10/2017,5/17/2017,1822787,577130,501903,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA Capacity,NEW SCHOOL,Design,Complete,5/18/2017,9/15/2017,12/22/2017,5832918,1925314,1606343,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,81806672,81806672,141080,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,11520013,11520013,140841,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA CIP,DEMOLITION,Scope,Complete,2/3/2017,2/3/2017,2/3/2017,93360,45087,45087,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA CIP,DEMOLITION,Design,Complete,2/6/2017,4/14/2017,5/9/2017,373440,184056,184056,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA CIP,DEMOLITION,Construction,In-Progress,7/24/2017,6/18/2018,,7002000,6469408,1159627,DSF: 0000798196
24,Q419,I.S. 419 - QUEENS,SCA CIP,DEMOLITION,"CM, F&E",In-Progress,7/24/2017,6/18/2018,,435680,132784,113358,DSF: 0000798196
24,Q422,PRE-K CENTER @ 108-18 ROOSEVEL,PRE-K,LEASE,Scope,Complete,10/5/2016,10/19/2016,10/20/2016,54494,103333,103050,DSF: 0000845581
24,Q422,PRE-K CENTER @ 108-18 ROOSEVEL,PRE-K,LEASE,Design,In-Progress,10/21/2016,1/17/2017,,174381,174381,169801,DSF: 0000845581
24,Q422,PRE-K CENTER @ 108-18 ROOSEVEL,PRE-K,LEASE,Construction,PNS,PNS,PNS,PNS,2445696,2445696,46925,DSF: 0000845581
24,Q422,PRE-K CENTER @ 108-18 ROOSEVEL,PRE-K,LEASE,"CM, F&E",PNS,PNS,PNS,PNS,344403,344403,32266,DSF: 0000845581
24,Q432,PRE-K CENTER @ 57-06 99TH ST,PRE-K,LEASE,Scope,Complete,9/23/2016,10/14/2016,10/14/2016,109174,71416,71416,DSF: 0000844747
24,Q432,PRE-K CENTER @ 57-06 99TH ST,PRE-K,LEASE,Design,Complete,10/17/2016,12/30/2016,5/15/2017,349357,383095,331022,DSF: 0000844747
24,Q432,PRE-K CENTER @ 57-06 99TH ST,PRE-K,LEASE,Construction,Complete,6/22/2017,7/30/2017,8/30/2017,4899736,4442899,4301276,DSF: 0000844747
24,Q432,PRE-K CENTER @ 57-06 99TH ST,PRE-K,LEASE,"CM, F&E",Complete,6/22/2017,7/30/2017,8/30/2017,718188,831771,624106,DSF: 0000844747
24,Q437,PRE-K CENTER @ 98-22 55 AVENUE,DOE Managed PREK,PRE-K CENTER,Construction,In-Progress,11/14/2017,DOEP,,0,598546,574919,DSF: 0000865849
24,Q455,NEWTOWN HS - QUEENS,SCA CIP,WATER PENETRATION,Scope,Complete,4/10/2017,8/23/2017,6/14/2017,16240,17208,15984,DSF: 0000858912
24,Q455,NEWTOWN HS - QUEENS,SCA CIP,WATER PENETRATION,Design,Complete,7/20/2017,12/21/2017,12/1/2017,64959,50127,42627,DSF: 0000858912
24,Q455,NEWTOWN HS - QUEENS,SCA CIP,WATER PENETRATION,Construction,PNS,PNS,PNS,PNS,1217972,1217972,2909,DSF: 0000858912
24,Q455,NEWTOWN HS - QUEENS,SCA CIP,WATER PENETRATION,"CM, F&E",PNS,PNS,PNS,PNS,75785,75785,9141,DSF: 0000858912
24,Q455,NEWTOWN HS - QUEENS,SCA CIP RESOA,FY18 RESO A LOW-VOLTAGE ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866323
24,Q455,NEWTOWN HS - QUEENS,SCA CIP RESOA,FY18 RESO A LOW-VOLTAGE ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,90000,90000,0,DSF: 0000866323
24,Q455,NEWTOWN HS - QUEENS,SCA CIP RESOA,FY18 RESO A LOW-VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,1320000,1320000,0,DSF: 0000866323
24,Q455,NEWTOWN HS - QUEENS,SCA CIP RESOA,FY18 RESO A LOW-VOLTAGE ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,90000,90000,0,DSF: 0000866323
24,Q455,NEWTOWN HS - QUEENS,SCA IEH,IEH PO18-ROOM 439,Construction,Complete,7/22/2016,IEH,8/9/2016,IEH,4798,298,DSF: 0000042089
24,Q455,NEWTOWN HS - QUEENS,SCA IEH,IEH PO18-ROOM 157,Construction,Complete,6/12/2017,IEH,8/7/2017,IEH,41814,470,DSF: 0000047265
24,Q455,NEWTOWN HS - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/2017,DOES,,DOES,170000,470,DSF: 0000866049
24,Q485,GROVER CLEVELAND HS - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,In-Progress,12/21/2017,4/25/2018,,0,0,0,DSF: 0000866355
24,Q485,GROVER CLEVELAND HS - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000866355
24,Q485,GROVER CLEVELAND HS - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000866355
24,Q485,GROVER CLEVELAND HS - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000866355
24,Q485,GROVER CLEVELAND HIGH SCHOOL,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/7/2017,1/15/2018,,125000,124062,124062,DSF: 0000845087
24,Q585,MASPETH HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866422
24,Q585,MASPETH HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000866422
24,Q585,MASPETH HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000,0,DSF: 0000866422
24,Q585,MASPETH HIGH SCHOOL - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000866422
24,Q585,MASPETH HIGH SCHOOL - QUEENS,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,189121,0,DSF: 0000776590
24,Q610,AVIATION HS - QUEENS,SCA CIP,FUEL FIRE/ROOFS/PARAPETS/MSNRY/ FLOOD/GYM UPG/WIN,Scope,Complete,2/25/2013,9/16/2014,8/14/2014,287957,243017,241089,"DSF: 0000769187, 0000769189, 0000769190, 0000769191, 0000769202, 0000769206, 0000791972, 0000799902"
24,Q610,AVIATION HS - QUEENS,SCA CIP,FUEL FIRE/ROOFS/PARAPETS/MSNRY/ FLOOD/GYM UPG/WIN,Design,Complete,8/28/2014,2/19/2015,4/2/2015,1139270,927903,903773,"DSF: 0000769187, 0000769189, 0000769190, 0000769191, 0000769202, 0000769206, 0000791972, 0000799902"
24,Q610,AVIATION HS - QUEENS,SCA CIP,FUEL FIRE/ROOFS/PARAPETS/MSNRY/ FLOOD/GYM UPG/WIN,Construction,In-Progress,4/15/2016,1/4/2018,,20234144,19015614,13247721,"DSF: 0000769187, 0000769189, 0000769190, 0000769191, 0000769202, 0000769206, 0000791972, 0000799902"
24,Q610,AVIATION HS - QUEENS,SCA CIP,FUEL FIRE/ROOFS/PARAPETS/MSNRY/ FLOOD/GYM UPG/WIN,"CM, F&E",In-Progress,4/15/2016,1/4/2018,,1507064,547611,469212,"DSF: 0000769187, 0000769189, 0000769190, 0000769191, 0000769202, 0000769206, 0000791972, 0000799902"
24,Q610,AVIATION HS - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/19/2017,7/19/2017,8/24/2017,50000,49624,49624,DSF: 0000845475
24,Q721,P.S. 16 - QUEENS,SCA CIP,EXTERIOR MASONRY,Scope,Complete,10/14/2015,3/3/2016,6/9/2016,27825,103524,92755,DSF: 0000815270
24,Q721,P.S. 16 - QUEENS,SCA CIP,EXTERIOR MASONRY,Design,Complete,7/27/2016,12/29/2016,12/29/2016,111300,72530,59541,DSF: 0000815270
24,Q721,P.S. 16 - QUEENS,SCA CIP,EXTERIOR MASONRY,Construction,In-Progress,8/14/2017,8/13/2018,,2086875,1884521,25221,DSF: 0000815270
24,Q721,P.S. 16 - QUEENS,SCA CIP,EXTERIOR MASONRY,"CM, F&E",In-Progress,8/14/2017,8/13/2018,,129850,44456,24544,DSF: 0000815270
24,Q721,P.S. 16 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/19/2017,1/15/2018,10/11/2017,80000,79394,79394,DSF: 0000845125
24,Q721,P.S. 16 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,2/3/2017,DOES,,DOES,153599,153599,DSF: 0000823652
24,Q722,Q721 SPED - QUEENS,SCA CIP,EXTERIOR MASONRY/ROOFS,Scope,Complete,6/3/2015,12/3/2015,8/27/2015,64500,18503,18503,"DSF: 0000815282, 0000815284"
24,Q722,Q721 SPED - QUEENS,SCA CIP,EXTERIOR MASONRY/ROOFS,Design,Complete,10/21/2015,4/21/2016,5/3/2016,258000,94072,94072,"DSF: 0000815282, 0000815284"
24,Q722,Q721 SPED - QUEENS,SCA CIP,EXTERIOR MASONRY/ROOFS,Construction,In-Progress,8/15/2017,11/7/2018,,4837501,4343328,328,"DSF: 0000815282, 0000815284"
24,Q722,Q721 SPED - QUEENS,SCA CIP,EXTERIOR MASONRY/ROOFS,"CM, F&E",In-Progress,8/15/2017,11/7/2018,,301000,31238,10920,"DSF: 0000815282, 0000815284"
24,Q722,Q721 SPED - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Scope,Complete,1/11/2016,5/11/2016,2/9/2016,0,7358,7358,DSF: 0000822752
24,Q722,Q721 SPED - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,Complete,2/9/2016,7/11/2016,5/31/2016,13125,28614,28577,DSF: 0000822752
24,Q722,Q721 SPED - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,Complete,2/13/2017,11/9/2017,8/28/2017,192493,165852,103597,DSF: 0000822752
24,Q722,Q721 SPED - QUEENS,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",Complete,2/13/2017,11/9/2017,8/28/2017,13125,32640,27928,DSF: 0000822752
24,Q722,Q721 SPED - QUEENS,DOE- RESOA,FY18 RESO A TOILETS-STUDENTS,Construction,In-Progress,11/30/2017,DOER,,0,12570,0,DSF: 0000867391
24,Q735,HS OF APPLIED COMMUNICATION-Q,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/15/2017,1/15/2018,8/14/2017,35000,34738,34738,DSF: 0000845466
24,Q735,BARD HS EARLY COLLEGE II - QUE,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/30/2017,1/15/2018,8/4/2017,35000,33858,33858,DSF: 0000845467
24,Q735,HIGH SCHOOL OF APPLIED COMMUNI,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,34729,34729,DSF: 0000867955
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867314
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867314
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867314
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867314
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867327
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867327
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867327
24,Q744,PAN AMERICAN INTERNATIONAL HS,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867327
24,Q841,P.S. 110 - QUEENS,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,84233,0,DSF: 0000777149
24,Q848,P.S. 81 - QUEENS,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/15/2017,DOEL,12/19/2017,DOEL,18334,18334,DSF:
24,Q878,P.S. 128 - QUEENS,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000823546
24,Q878,P.S. 128 - QUEENS,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,PNS,PNS,PNS,PNS,9000,17586,0,DSF: 0000823546
24,Q878,P.S. 128 - QUEENS,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,132000,257931,0,DSF: 0000823546
24,Q878,P.S. 128 - QUEENS,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,9000,17586,0,DSF: 0000823546
24,Q908,P.S. 143 ANNEX - QUEENS,SCA Lease Site Impro,LEASE,Scope,Complete,8/31/2015,12/8/2015,12/8/2015,149308,114011,111611,DSF: 0000798197
24,Q908,P.S. 143 ANNEX - QUEENS,SCA Lease Site Impro,LEASE,Design,Complete,12/9/2015,4/15/2016,5/16/2017,477784,469737,465795,DSF: 0000798197
24,Q908,P.S. 143 ANNEX - QUEENS,SCA Lease Site Impro,LEASE,Construction,In-Progress,7/20/2017,10/12/2018,,6700921,6121968,662775,DSF: 0000798197
24,Q908,P.S. 143 ANNEX - QUEENS,SCA Lease Site Impro,LEASE,"CM, F&E",In-Progress,7/20/2017,10/12/2018,,943623,406682,91356,DSF: 0000798197
25,Q020,P.S. 20 - QUEENS,SCA CIP,FIRE ALARM SYS/MECHANICAL SYSTEMS REPAIR,Scope,Complete,7/23/2013,10/22/2013,12/3/2013,60491,25193,25193,"DSF: 0000765327, 0000787947"
25,Q020,P.S. 20 - QUEENS,SCA CIP,FIRE ALARM SYS/MECHANICAL SYSTEMS REPAIR,Design,Complete,1/8/2014,7/11/2014,3/20/2015,241964,292371,287442,"DSF: 0000765327, 0000787947"
25,Q020,P.S. 20 - QUEENS,SCA CIP,FIRE ALARM SYS/MECHANICAL SYSTEMS REPAIR,Construction,PNS,PNS,PNS,PNS,4536834,4536834,15983,"DSF: 0000765327, 0000787947"
25,Q020,P.S. 20 - QUEENS,SCA CIP,FIRE ALARM SYS/MECHANICAL SYSTEMS REPAIR,"CM, F&E",PNS,PNS,PNS,PNS,282292,282292,23535,"DSF: 0000765327, 0000787947"
25,Q020,P.S. 20 - QUEENS,SCA CIP,FLOOD ELIMINATION,Scope,In-Progress,12/18/2017,5/4/2018,,25495,25495,68,DSF: 0000877872
25,Q020,P.S. 20 - QUEENS,SCA CIP,FLOOD ELIMINATION,Design,PNS,PNS,PNS,PNS,93482,93482,273,DSF: 0000877872
25,Q020,P.S. 20 - QUEENS,SCA CIP RESOA,FY16 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/12/2017,8/11/2017,7/17/2017,0,12302,1248,DSF: 0000822778
